id,text,label
48,Mild cough no shortness of breath or chest pain,self-monitor
76,headache,self-monitor
1820,I am 25 years old ear pain and fatigue since yesterday.,doctor
531,Age 18 stuffy nose,self-monitor
1322,ear pain and mild stomach pain for 3 days,doctor
835,started gradually: dizziness for 3 days,self-monitor
18,dizziness no shortness of breath or chest pain.,self-monitor
4306,Very low blood pressure started suddenly,emergency
2201,Age 18 new lump and muscle ache intermittently,doctor
1360,high fever and mild stomach pain since yesterday,doctor
275,watery eyes since this morning,self-monitor
4899,slurred speech started suddenly.,emergency
1989,I'm 62 sinus pain and sneezing for 1 day,doctor
645,woke up with: diarrhea for 1 day no shortness of breath or chest pain.,self-monitor
4567,airway obstruction started suddenly,emergency
490,headache,self-monitor
1290,Started suddenly: A 70-year-old high fever and low fever since yesterday,doctor
1646,vision changes for 2 days,doctor
1440,sinus pain and headache since yesterday,doctor
583,A child aged 8 dizziness.,self-monitor
453,joint pain no shortness of breath or chest pain,self-monitor
1382,A 40-year-old persistent bleeding and sneezing for a week,doctor
1973,Strong cough for several hours symptoms are getting worse.,doctor
3526,dehydration,urgent-care
3666,started gradually: confusion started since yesterday,urgent-care
1088,Joint pain since yesterday.,self-monitor
3220,moderate chest pain started since yesterday need urgent check,urgent-care
3957,slurred speech call emergency services.,emergency
4865,Airway obstruction call emergency services,emergency
1697,sinus pain and dizziness for several hours.,doctor
890,Stuffy nose for 2 days,self-monitor
2195,Severe sore throat and joint pain for a week,doctor
4594,one-sided weakness.,emergency
4323,one-sided weakness,emergency
3404,Age 18 high fever with rash started since this morning,urgent-care
3610,severe abdominal pain started a week,urgent-care
3521,severe abdominal pain started since this morning,urgent-care
1810,ear pain for several hours,doctor
2303,strong cough and diarrhea since yesterday.,doctor
4503,one-sided weakness.,emergency
4008,severe bleeding started suddenly,emergency
4676,severe head trauma started suddenly,emergency
2641,A 70-year-old severe vomiting,urgent-care
4823,airway obstruction,emergency
2153,high fever and watery eyes intermittently symptoms are getting worse.,doctor
4149,severe bleeding started suddenly.,emergency
1280,Persistent fever and sore throat for 3 days hit head on the floor.,doctor
2729,A child aged 8 confusion cut while working,urgent-care
1628,Blood in stool and low fever for 2 days,doctor
415,Sneezing,self-monitor
368,Woke up with: chills no shortness of breath or chest pain,self-monitor
1052,diarrhea.,self-monitor
4994,airway obstruction started suddenly,emergency
4358,severe chest pain call emergency services,emergency
2152,Age 18 ear pain for several hours.,doctor
1649,blood in stool and tiredness for several hours,doctor
2722,I'm 62 moderate chest pain started 2 days need urgent check,urgent-care
4862,Difficulty breathing call emergency services,emergency
572,I am 25 years old runny nose,self-monitor
520,lightheadedness no shortness of breath or chest pain,self-monitor
2352,Severe sore throat and diarrhea since yesterday.,doctor
2348,productive cough and watery eyes since yesterday symptoms are getting worse,doctor
956,sore throat for 1 day no shortness of breath or chest pain,self-monitor
793,Muscle ache intermittently,self-monitor
761,back ache intermittently,self-monitor
4493,Severe bleeding call emergency services,emergency
4202,Started gradually: sudden confusion,emergency
4223,Severe bleeding started suddenly,emergency
4485,severe bleeding.,emergency
4211,Seizure,emergency
3616,moderate chest pain started intermittently.,urgent-care
600,Back ache since yesterday no shortness of breath or chest pain,self-monitor
242,after exercise: sneezing,self-monitor
2243,persistent fever and joint pain for 2 days.,doctor
2588,high fever with rash,urgent-care
2692,Severe vomiting need urgent check,urgent-care
522,Stuffy nose since this morning no shortness of breath or chest pain,self-monitor
2824,worsening shortness of breath started 3 days,urgent-care
3292,Began after eating: high fever with rash need urgent check,urgent-care
2301,I am 25 years old blood in stool and lightheadedness for 2 days,doctor
526,itchy eyes for a week.,self-monitor
353,dizziness since this morning,self-monitor
2812,started suddenly: moderate chest pain started since this morning,urgent-care
556,low fever,self-monitor
2513,confusion started 2 days,urgent-care
2555,sudden dizziness started 3 days need urgent check,urgent-care
4922,One-sided weakness loss of consciousness,emergency
1651,A 70-year-old persistent bleeding and watery eyes since this morning symptoms are getting worse.,doctor
2849,Difficulty breathing started intermittently need urgent check.,urgent-care
2510,began after eating: dehydration started a week need urgent check.,urgent-care
1083,Runny nose no shortness of breath or chest pain,self-monitor
3699,worsening shortness of breath.,urgent-care
791,Joint pain.,self-monitor
1540,strong cough and fatigue since yesterday,doctor
1476,Abdominal pain and low fever since this morning sustained blunt trauma,doctor
13,A 40-year-old sneezing after a sports injury,self-monitor
3637,moderate chest pain need urgent check,urgent-care
3530,severe abdominal pain started intermittently,urgent-care
3092,I'm 62 confusion started a week need urgent check,urgent-care
2664,Confusion started intermittently,urgent-care
151,after the accident: sneezing no shortness of breath or chest pain,self-monitor
4887,seizure call emergency services,emergency
612,back ache for 3 days,self-monitor
1260,A child aged 8 significant weight loss and muscle ache since this morning symptoms are getting worse.,doctor
3277,sudden dizziness,urgent-care
65,started suddenly: mild cough,self-monitor
4311,suspected stroke,emergency
586,headache.,self-monitor
4761,severe chest pain,emergency
4130,Started gradually: one-sided weakness loss of consciousness,emergency
4807,one-sided weakness started suddenly call emergency services,emergency
1327,Vomiting and low fever since yesterday symptoms are getting worse,doctor
4183,Slurred speech started suddenly call emergency services,emergency
1119,chills no shortness of breath or chest pain,self-monitor
3654,Dehydration started since yesterday.,urgent-care
591,woke up with: tiredness since yesterday,self-monitor
4732,Unconscious started suddenly,emergency
1073,runny nose for 3 days,self-monitor
388,fatigue intermittently,self-monitor
1214,dizziness no shortness of breath or chest pain,self-monitor
